rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
114,frame_0026.jpg,10.4,0.4472,0.4086,0.1429,1.0,3,1,False,False
115,frame_0104.jpg,41.6,0.4457,0.672,0.2857,0.12,3,2,False,False
116,frame_0086.jpg,34.4,0.4451,0.5107,0.2857,0.52,3,2,False,False
117,frame_0292.jpg,116.8,0.4449,0.3983,0.2857,0.8,5,2,False,False
118,frame_0167.jpg,66.8,0.4448,0.4782,0.2857,0.6,5,2,False,False
119,frame_0126.jpg,50.4,0.4399,0.4044,0.2857,0.76,6,2,False,False
120,frame_0131.jpg,52.4,0.4378,0.4916,0.0,0.96,3,0,False,False
121,frame_0175.jpg,70.0,0.4349,0.5864,0.2857,0.28,4,2,False,False
122,frame_0309.jpg,123.6,0.4318,0.4728,0.5714,0.12,4,4,False,False
123,frame_0297.jpg,118.8,0.4314,0.4513,0.2857,0.6,4,2,False,False
124,frame_0210.jpg,84.0,0.4313,0.5049,0.1429,0.68,2,1,False,False
125,frame_0017.jpg,6.8,0.4307,0.3757,0.1429,1.0,4,1,False,False
126,frame_0106.jpg,42.4,0.4296,0.5861,0.4286,0.04,4,3,False,False
127,frame_0116.jpg,46.4,0.4289,0.628,0.1429,0.36,4,1,False,False
128,frame_0280.jpg,112.0,0.4283,0.6109,0.1429,0.4,4,1,False,False
129,frame_0215.jpg,86.0,0.4272,0.491,0.2857,0.48,2,2,False,False
130,frame_0076.jpg,30.4,0.4265,0.3992,0.1429,0.92,5,1,False,False
131,frame_0168.jpg,67.2,0.4258,0.4561,0.2857,0.56,5,2,False,False
132,frame_0176.jpg,70.4,0.42,0.4012,0.5714,0.24,6,4,False,False
133,frame_0311.jpg,124.4,0.4185,0.6496,0.2857,0.04,2,2,False,False
134,frame_0274.jpg,109.6,0.4169,0.5983,0.2857,0.16,6,2,False,False
135,frame_0213.jpg,85.2,0.414,0.5182,0.1429,0.56,1,1,False,False
136,frame_0377.jpg,150.8,0.4127,0.6917,0.1429,0.12,7,1,False,False
137,frame_0103.jpg,41.2,0.4112,0.5013,0.4286,0.16,3,3,False,False
138,frame_0278.jpg,111.2,0.4096,0.4341,0.4286,0.32,5,3,False,False
139,frame_0286.jpg,114.4,0.4091,0.3907,0.2857,0.64,5,2,False,False
140,frame_0117.jpg,46.8,0.4086,0.5714,0.1429,0.4,4,1,False,False
141,frame_0084.jpg,33.6,0.4085,0.577,0.0,0.6,2,0,False,False
